Country Name,Country Code,Indicator Name,Indicator Code,1970,1980,1990,2000,2010,2016,2017
Arab World,ARB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,1.888857718,,2.38136386,
Arab World,ARB,High-technology exports (current US$),TX.VAL.TECH.CD,,,,860898536,2419538790,,
Arab World,ARB,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Arab World,ARB,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
Arab World,ARB,"Trademark applications, total",IP.TMK.TOTL,7204,8411,,50463,69387,100522,
Arab World,ARB,"Trademark applications, direct resident",IP.TMK.RESD,1996,2463,,14169,26594,,
Arab World,ARB,"Trademark applications, direct nonresident",IP.TMK.NRES,5208,5948,,26273,29296,55747,
Arab World,ARB,"Patent applications, residents",IP.PAT.RESD,160,162,,1124,1551,2910,
Arab World,ARB,"Patent applications, nonresidents",IP.PAT.NRES,1806,1948,,2428,4874,6399,
Arab World,ARB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,24677.39689,44733.95482,
Arab World,ARB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,
Arab World,ARB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,1270116.798,5384885.995,99847249.88,48832292.91,66468868.9,40610072.91
Arab World,ARB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,37093976.86,62048627.92,423152346,435296352.4,523088446.5,409046265.1
United Arab Emirates,ARE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,0.7084400584,,2.321466353,
United Arab Emirates,ARE,High-technology exports (current US$),TX.VAL.TECH.CD,,,,5003130,28169075,429174936,
United Arab Emirates,ARE,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
United Arab Emirates,ARE,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
United Arab Emirates,ARE,"Trademark applications, total",IP.TMK.TOTL,,,,5680,13497,18777,
United Arab Emirates,ARE,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,5199,
United Arab Emirates,ARE,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,13578,
United Arab Emirates,ARE,"Patent applications, residents",IP.PAT.RESD,,,,,,,
United Arab Emirates,ARE,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,
United Arab Emirates,ARE,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,1229.3,2180.9,
United Arab Emirates,ARE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,
United Arab Emirates,ARE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,
United Arab Emirates,ARE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,9.351856306,7.418585913,8.792814727,
Argentina,ARG,High-technology exports (current US$),TX.VAL.TECH.CD,,,,797074012,1628113368,1300925701,
Argentina,ARG,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,157.48519,246.05271,,
Argentina,ARG,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,712.947,1120.70749,,
Argentina,ARG,"Trademark applications, total",IP.TMK.TOTL,34384,25316,67053,61847,88428,71058,
Argentina,ARG,"Trademark applications, direct resident",IP.TMK.RESD,26153,18498,52578,42900,68974,55739,
Argentina,ARG,"Trademark applications, direct nonresident",IP.TMK.NRES,8231,6818,14475,18947,19454,15319,
Argentina,ARG,"Patent applications, residents",IP.PAT.RESD,1982,1269,955,1062,552,884,
Argentina,ARG,"Patent applications, nonresidents",IP.PAT.NRES,5096,3063,1955,5574,4165,2925,
Argentina,ARG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,7472.5,8648.2,
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,0.43915,0.56126,,
Argentina,ARG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,4000000,4000000,36756558.01,152187821.1,160245117.7,206026092.5
Argentina,ARG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,101000000,409000000,580337544.9,1712212410,2057489641,2340790300
Armenia,ARM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,4.726627319,1.848659372,5.938609289,
Armenia,ARM,High-technology exports (current US$),TX.VAL.TECH.CD,,,,3966685,3759946,21142634,
Armenia,ARM,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Armenia,ARM,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
Armenia,ARM,"Trademark applications, total",IP.TMK.TOTL,,,,2886,4308,4006,
Armenia,ARM,"Trademark applications, direct resident",IP.TMK.RESD,,,,510,1266,1261,
Armenia,ARM,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,2376,3042,2745,
Armenia,ARM,"Patent applications, residents",IP.PAT.RESD,,,,119,136,125,
Armenia,ARM,"Patent applications, nonresidents",IP.PAT.NRES,,,,8,6,1,
Armenia,ARM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,494.3,521,
Armenia,ARM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,0.19131,0.2414,,
Armenia,ARM,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,
